Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
137,JAMIA CO-OPERATIVE BANK LTD,0.64,11.28,0.45,9.39,,
138,JAMMU AND KASHMIR GRAMEEN BANK,20.12,233.04,10.83,232.44,,
139,JANA SMALL FINANCE BANK LTD,56.07,744.95,36.64,911.46,,
140,JANAKALYAN SAHAKARI BANK LTD.,6.52,87.47,2.51,66.33,,
141,JANASEVA SAHAKARI BANK LTD,12.69,150.59,4.91,120.74,,
142,JANATA SAHAKARI BANK,43.93,574.44,20.02,479.81,,
143,JANATA SAHAKARI BANK LTD AJARA,1.04,16.22,0.65,14.31,,
144,JANATHA SEVA CO OPERATIVE BANK LTD,0.38,4.25,0.18,5.94,,
145,JANKALYAN URBAN CO-OPERATIVE MARYADIT KALLAM,0.11,2.36,0.09,1.82,,
146,JHARKHAND RAJYA GRAMIN BANK (ERSTWHILE VANANCHAL GRAMIN BANK),44.35,620.15,29.90,591.46,,
147,JIJAMATA MAHILA SAHAKARI BANK LTD,0.87,14.30,0.42,12.25,,
148,JILA SAHAKARI KENDRIYA BANK MARYADIT RAIPUR,5.01,78.58,1.42,32.57,,
149,JILA SAHAKARI KENDRIYA BANK MYDT DURG,3.47,51.53,1.00,26.56,,
150,JILA SAHKARI KENDRIYA BANK MARYADIT KHARGONE,2.33,35.82,0.95,28.12,,
151,JIO PAYMENTS BANK LTD,142.46,909.70,130.82,1248.38,,
152,JIVAN COMMERCIAL CO-OPERATIVE BANK LTD.,0.24,5.30,0.13,5.16,,
153,JODHPUR NAGRIK SAHAKARI BANK LTD,0.18,3.26,0.10,3.50,,
154,JOGINDRA CENTRAL COOPERATIVE BANK LTD,1.07,14.72,0.52,11.23,,
155,KALLAPPANNA AWADE ICHALKARANJI JANATA SAHKARI BANK,9.76,119.91,4.02,103.29,,
156,KALYAN JANATA SAHAKARI BANK,23.91,308.45,8.73,224.80,,
157,KANAKA MAHALAKSHMI CO-OPERATIVE BANK LTD.,2.13,36.12,1.17,37.62,,
158,KANCHEEPURAM CENTRAL COOPERATIVE BANK,1.21,15.45,0.65,16.81,,
159,KANKARIA MANINAGAR NAGARIK SAHAKARI BANK LTD,0.60,15.26,0.31,12.75,,
